iter	Logloss
342	0.5595173978
343	0.5594613971
344	0.5594005812
345	0.5593132568
346	0.5592817979
347	0.5592027463
348	0.5591512814
349	0.5591215967
350	0.5590992297
351	0.5590339068
352	0.5589818443
353	0.558935225
354	0.5588520889
355	0.5588115121
356	0.5587813586
357	0.5587307438
358	0.5586810294
359	0.5586327424
360	0.5585902518
361	0.5585603325
362	0.5584713233
363	0.5584303641
364	0.5583972468
365	0.5583681562
366	0.5583367707
367	0.5583096154
368	0.5582527549
369	0.5582082676
370	0.5581695271
371	0.5581336782
372	0.5580891769
373	0.558061989
374	0.558038748
375	0.5580079448
376	0.5579708754
377	0.5578811677
378	0.5578354154
379	0.5577977391
380	0.557731782
381	0.5576713379
382	0.5576135684
383	0.5575819218
384	0.5575522774
385	0.5575227551
386	0.5574928445
387	0.5574654519
388	0.557412881
389	0.5573872653
390	0.5572562271
391	0.5572180328
392	0.5571225457
393	0.557086561
394	0.55704459
395	0.5569735088
396	0.5569252914
397	0.5568732212
398	0.5568326718
399	0.5567892725
400	0.5567388117
401	0.5567050723
402	0.5566450101
403	0.5566151584
404	0.5565371816
405	0.5565058935
406	0.5564607199
407	0.5564341479
408	0.5563762619
409	0.5563500213
410	0.5563180493
411	0.5562822933
412	0.556221755
413	0.5561813756
414	0.5561551584
415	0.5560419304
416	0.5560067194
417	0.5559702353
418	0.5559378414
419	0.5558039344
420	0.5557697719
421	0.5557502901
422	0.555696928
423	0.5556173279
424	0.5555863405
425	0.5555671713
426	0.5555453703
427	0.5554996956
428	0.5554609059
429	0.5554229309
430	0.5553948521
431	0.5553619038
432	0.5553341747
433	0.5552813555
434	0.555238694
435	0.5552055973
436	0.5551650096
437	0.5551290037
438	0.5550824981
439	0.5550539226
440	0.5550110711
441	0.5549807124
442	0.5549506664
443	0.554885599
444	0.5548572159
445	0.5547909807
446	0.5547418778
447	0.5547177721
448	0.5546754265
449	0.5546172827
450	0.5545830657
451	0.5545342454
452	0.5544833232
453	0.5544481755
454	0.5544217598
455	0.5543292978
456	0.5543081031
457	0.55427699
458	0.554245364
459	0.5542196443
460	0.5541988634
461	0.5541414614
462	0.5541195076
463	0.5540879778
464	0.554068412
465	0.5539810945
466	0.5539568773
467	0.5539132788
468	0.5538728779
469	0.5538399115
470	0.5538114311
471	0.553788758
472	0.553715358
473	0.5536718658
474	0.5536502375
475	0.5536321136
476	0.5535969125
477	0.5535401089
478	0.5535033481
479	0.5534772488
480	0.5534427696
481	0.5534148353
482	0.553375993
483	0.5533329474
484	0.5532668546
485	0.5532347812
486	0.5532008728
487	0.5531776442
488	0.5531524612
489	0.5531211038
490	0.5530995404
491	0.5530663329
492	0.5529918148
493	0.5529609655
494	0.552938136
495	0.552907878
496	0.5528754668
497	0.5528485851
498	0.5528252773
499	0.5527977434
