iter	Logloss
0	0.6853368349
1	0.6780535852
2	0.6714585687
3	0.6655681936
4	0.6603572227
5	0.6555498753
6	0.6512124201
7	0.6473367702
8	0.6438075413
9	0.640500689
10	0.6375555307
11	0.634686955
12	0.632155402
13	0.6298268806
14	0.627258535
15	0.6252228578
16	0.6229182595
17	0.6211432048
18	0.6196524494
19	0.6178791994
20	0.6164549431
21	0.6150156384
22	0.6133849389
23	0.6118381113
24	0.6105556212
25	0.6094631455
26	0.6082197191
27	0.6071461721
28	0.6059552898
29	0.6050098085
30	0.6041316959
31	0.6032593025
32	0.6019592721
33	0.6012642651
34	0.6002964318
35	0.5993815193
36	0.598719407
37	0.598023983
38	0.597331605
39	0.5966665779
40	0.5960431634
41	0.5952043957
42	0.5947423668
43	0.5941593389
44	0.5934075088
45	0.5929216337
46	0.5924649192
47	0.5917540706
48	0.5911575434
49	0.5907263875
50	0.5901778775
51	0.5897649508
52	0.5893989849
53	0.5888153479
54	0.5884552661
55	0.5881297504
56	0.5878306354
57	0.5875227263
58	0.5871792932
59	0.5868437055
60	0.5865226475
61	0.5859994743
62	0.5857515999
63	0.5852515144
64	0.5850042628
65	0.5845743115
66	0.5842952797
67	0.5840562354
68	0.5838396179
69	0.5836632287
70	0.5834377044
71	0.5832167993
72	0.5829980801
73	0.5827749157
74	0.582607808
75	0.5823973022
76	0.5822348484
77	0.5820232437
78	0.5818135472
79	0.5816070832
80	0.5814070105
81	0.5812394097
82	0.5809535338
83	0.5807754826
84	0.5805924812
85	0.5804372984
86	0.5800789157
87	0.5797984076
88	0.5795163984
89	0.5793694884
90	0.5791292809
91	0.5789674221
92	0.5788272056
93	0.5786942355
94	0.5785853609
95	0.5784367115
96	0.578249458
97	0.5781367208
98	0.5779914148
99	0.577869765
100	0.5777283358
101	0.5776058237
102	0.5774686879
103	0.5773306327
104	0.5771765318
105	0.5770334022
106	0.5768907998
107	0.5767592137
108	0.5766472092
109	0.5765275424
110	0.5764127783
111	0.5762831263
112	0.57611369
113	0.5759770143
114	0.5758857341
115	0.5757428088
116	0.5756184405
117	0.5755155748
118	0.5754099772
119	0.5753223903
120	0.5751683719
121	0.5750428105
122	0.5749522541
123	0.5748517779
124	0.5747335913
125	0.574642486
126	0.5745238286
127	0.5744237757
128	0.5743334685
129	0.5742201104
130	0.573970307
131	0.5738943863
132	0.5738172248
133	0.5737402311
134	0.5735952822
135	0.5735118866
136	0.5734205119
137	0.5733545224
138	0.5732727628
139	0.5730731987
140	0.5729247761
141	0.5728524088
142	0.5727715817
143	0.5725992201
144	0.5725296625
145	0.5724588869
146	0.5724026234
147	0.5722629496
148	0.5721466999
149	0.5720744267
150	0.5720123257
151	0.5719253784
152	0.5717975614
153	0.5717201376
154	0.5716610632
155	0.5715865046
156	0.5714659877
157	0.5714151315
158	0.5713571174
159	0.5712936516
160	0.5712378171
161	0.5709780724
162	0.5708647846
163	0.5708091551
164	0.5707285655
165	0.5706648436
166	0.5705977938
167	0.5705097909
168	0.5704598642
169	0.5702557039
170	0.5701957139
171	0.5701294707
172	0.5700805573
173	0.5700129065
174	0.5699640862
175	0.5699189189
176	0.569808837
177	0.569751679
178	0.5696986569
179	0.5695558741
180	0.5694966159
181	0.569445521
182	0.5693953399
183	0.5693424807
184	0.5692708467
185	0.5690635355
186	0.5689573892
187	0.5689177973
188	0.5688639555
189	0.568817074
190	0.5687622459
191	0.5686626021
192	0.5685624228
193	0.5685144629
194	0.5683501702
195	0.5683129341
196	0.5682544311
197	0.5681985228
198	0.5681397069
199	0.5680755
200	0.5678780085
201	0.5678255845
202	0.5677303401
203	0.5676708037
204	0.5675835143
205	0.5675208013
206	0.5673788233
207	0.5673320968
208	0.567269663
209	0.5672232073
210	0.5671813475
211	0.56713479
212	0.5669845068
213	0.5669465086
214	0.5668961486
215	0.5667961458
216	0.5666821335
217	0.5666397871
218	0.5665888139
219	0.5664713617
220	0.5663865405
221	0.5663298622
222	0.5662658443
223	0.5662257302
224	0.5661589153
225	0.566107852
226	0.5660564398
227	0.5660080038
228	0.5659312359
229	0.5658916382
230	0.5658486171
231	0.5657716499
232	0.56570973
233	0.5656183432
234	0.5655800665
235	0.5654976899
236	0.5654512572
237	0.5654129098
238	0.5653252918
239	0.565231562
240	0.5651874902
241	0.5651551543
242	0.5651127541
243	0.56505249
244	0.5650067601
245	0.5649674274
246	0.5649341007
247	0.564850539
248	0.5648215217
249	0.5647943202
250	0.5647670823
251	0.5647163979
252	0.5646579011
253	0.5646215169
254	0.5645877637
255	0.5645014657
256	0.5644497532
257	0.5643663498
258	0.5642994928
259	0.5642750147
260	0.564181286
261	0.564054988
262	0.5640148814
263	0.5639776761
264	0.5639321985
265	0.5638214729
266	0.5637488969
267	0.5636753904
268	0.563629363
269	0.563579299
270	0.563538469
271	0.5634850274
272	0.56343822
273	0.5633477121
274	0.5632951173
275	0.5632531515
276	0.5632126479
277	0.5631656946
278	0.5629789321
279	0.5629119918
280	0.5628677399
281	0.5628284748
282	0.5627986308
283	0.5626832368
284	0.5626458709
285	0.5625927505
286	0.5625310232
287	0.5625015617
288	0.5624644141
289	0.562407077
290	0.5623629311
291	0.5623255433
292	0.5622094383
293	0.5621640025
294	0.5620957912
295	0.5620674843
296	0.5620326006
297	0.5619961802
298	0.5619551317
299	0.5618671574
300	0.5618232416
301	0.5617497293
302	0.5617036621
303	0.5616368552
304	0.5615341063
305	0.5614876985
306	0.5614622324
307	0.5614081819
308	0.5613321808
309	0.5612868954
310	0.5612359623
311	0.5612086165
312	0.5611705979
313	0.5610724316
314	0.561002773
315	0.5609649199
316	0.5609225066
317	0.5608270958
318	0.5607715521
319	0.5607308216
320	0.5606897425
321	0.5605848004
322	0.5605498182
323	0.5605032574
324	0.5604239034
325	0.5603601215
326	0.560322022
327	0.5602772312
328	0.5602306769
329	0.5601597722
330	0.5601251741
331	0.5600875742
332	0.5600019979
333	0.5599285866
334	0.5598991288
335	0.5598687502
336	0.5598345758
337	0.5597993165
338	0.5597741655
339	0.5597044768
340	0.5596220516
341	0.5595513083
